# Logfile created on 2017-10-06 15:48:53 -0500 by logger.rb/1.2.8
I, [2017-10-06T15:48:55.922700 #4236]  INFO -- : Message success, Time= 0.00658634
I, [2017-10-06T15:48:55.927213 #4236]  INFO -- : Message success, Time= 0.00439901
I, [2017-10-06T15:48:55.933568 #4236]  INFO -- : Message success, Time= 0.006255206
I, [2017-10-06T15:48:55.942155 #4236]  INFO -- : Message success, Time= 0.00847071
I, [2017-10-06T15:48:55.946912 #4236]  INFO -- : Message success, Time= 0.004636197
I, [2017-10-06T15:48:55.957997 #4236]  INFO -- : Message success, Time= 0.01082174
I, [2017-10-06T15:48:55.968754 #4236]  INFO -- : Message success, Time= 0.010601287
I, [2017-10-06T15:48:55.989110 #4236]  INFO -- : Message success, Time= 0.020039366
I, [2017-10-06T15:48:55.994263 #4236]  INFO -- : Message success, Time= 0.005054526
I, [2017-10-06T15:48:55.998336 #4236]  INFO -- : Message success, Time= 0.003980199
I, [2017-10-06T15:48:56.010435 #4236]  INFO -- : Message success, Time= 0.011986791
I, [2017-10-06T15:48:56.019643 #4236]  INFO -- : Message success, Time= 0.009106482
I, [2017-10-06T15:48:56.031456 #4236]  INFO -- : Message success, Time= 0.011678903
I, [2017-10-06T15:48:56.040279 #4236]  INFO -- : Message success, Time= 0.007261743
I, [2017-10-06T15:48:56.049167 #4236]  INFO -- : Message success, Time= 0.008757738
I, [2017-10-06T15:48:56.062154 #4236]  INFO -- : Message success, Time= 0.012627579
I, [2017-10-06T15:48:56.069619 #4236]  INFO -- : Message success, Time= 0.007350821
I, [2017-10-06T15:48:56.079056 #4236]  INFO -- : Message success, Time= 0.009267104
I, [2017-10-06T15:48:56.084104 #4236]  INFO -- : Message success, Time= 0.004921744
I, [2017-10-06T15:48:56.092442 #4236]  INFO -- : Message success, Time= 0.008201299
I, [2017-10-06T15:48:56.099569 #4236]  INFO -- : Message success, Time= 0.006917858
I, [2017-10-06T15:48:56.120389 #4236]  INFO -- : Message success, Time= 0.020618333
I, [2017-10-06T15:48:56.130742 #4236]  INFO -- : Message success, Time= 0.01011474
I, [2017-10-06T15:48:56.134156 #4236]  INFO -- : Message success, Time= 0.003293513
I, [2017-10-06T15:48:56.137924 #4236]  INFO -- : Message success, Time= 0.003680693
I, [2017-10-06T15:48:56.146553 #4236]  INFO -- : Message success, Time= 0.008523102
I, [2017-10-06T15:48:56.149956 #4236]  INFO -- : Message success, Time= 0.003293019
I, [2017-10-06T15:48:56.160417 #4236]  INFO -- : Message success, Time= 0.010325776
I, [2017-10-06T15:48:56.167064 #4236]  INFO -- : Message success, Time= 0.006519001
I, [2017-10-06T15:48:56.175592 #4236]  INFO -- : Message success, Time= 0.008385926
I, [2017-10-06T15:48:56.182880 #4236]  INFO -- : Message success, Time= 0.007192927
I, [2017-10-06T15:48:56.190725 #4236]  INFO -- : Message success, Time= 0.00775036
I, [2017-10-06T15:48:56.195526 #4236]  INFO -- : Message success, Time= 0.004690435
I, [2017-10-06T15:48:56.199859 #4236]  INFO -- : Message success, Time= 0.004232883
I, [2017-10-06T15:48:56.208052 #4236]  INFO -- : Message success, Time= 0.008062532
I, [2017-10-06T15:48:56.216310 #4236]  INFO -- : Message success, Time= 0.007967202
I, [2017-10-06T15:48:56.224393 #4236]  INFO -- : Message success, Time= 0.00790706
I, [2017-10-06T15:48:56.238690 #4236]  INFO -- : Message success, Time= 0.014048317
I, [2017-10-06T15:48:56.250841 #4236]  INFO -- : Message success, Time= 0.002183338
I, [2017-10-06T15:48:56.256647 #4236]  INFO -- : Message success, Time= 0.005720186
I, [2017-10-06T15:48:56.263916 #4236]  INFO -- : Message success, Time= 0.007173435
I, [2017-10-06T15:48:56.274001 #4236]  INFO -- : Message success, Time= 0.009921935
I, [2017-10-06T15:48:56.283403 #4236]  INFO -- : Message success, Time= 0.009238606
I, [2017-10-06T15:48:56.289285 #4236]  INFO -- : Message success, Time= 0.005746503
I, [2017-10-06T15:48:56.293752 #4236]  INFO -- : Message success, Time= 0.004362489
I, [2017-10-06T15:48:56.303366 #4236]  INFO -- : Message success, Time= 0.009511656
I, [2017-10-06T15:48:56.316303 #4236]  INFO -- : Message success, Time= 0.01280133
I, [2017-10-06T15:48:56.320424 #4236]  INFO -- : Message success, Time= 0.004016115
I, [2017-10-06T15:48:56.328221 #4236]  INFO -- : Message success, Time= 0.007605531
I, [2017-10-06T15:48:56.332363 #4236]  INFO -- : Message success, Time= 0.004042565
I, [2017-10-06T15:48:56.346634 #4236]  INFO -- : Message success, Time= 0.012219257
I, [2017-10-06T15:48:56.352829 #4236]  INFO -- : Message success, Time= 0.006016471
I, [2017-10-06T15:48:56.360744 #4236]  INFO -- : Message success, Time= 0.006651819
I, [2017-10-06T15:48:56.383385 #4236]  INFO -- : Message success, Time= 0.022508452
I, [2017-10-06T15:48:56.398418 #4236]  INFO -- : Message success, Time= 0.014903269
I, [2017-10-06T15:48:56.406771 #4236]  INFO -- : Message success, Time= 0.008217476
I, [2017-10-06T15:48:56.415762 #4236]  INFO -- : Message success, Time= 0.008873518
I, [2017-10-06T15:48:56.420405 #4236]  INFO -- : Message success, Time= 0.00453016
I, [2017-10-06T15:48:56.432752 #4236]  INFO -- : Message success, Time= 0.012193329
I, [2017-10-06T15:48:56.438781 #4236]  INFO -- : Message success, Time= 0.003645931
I, [2017-10-06T15:48:56.447202 #4236]  INFO -- : Message success, Time= 0.008282298
I, [2017-10-06T15:48:56.451733 #4236]  INFO -- : Message success, Time= 0.004428458
I, [2017-10-06T15:48:56.459103 #4236]  INFO -- : Message success, Time= 0.007108389
I, [2017-10-06T15:48:56.466450 #4236]  INFO -- : Message success, Time= 0.007231707
I, [2017-10-06T15:48:56.474657 #4236]  INFO -- : Message success, Time= 0.008078617
I, [2017-10-06T15:48:56.485867 #4236]  INFO -- : Message success, Time= 0.010974395
I, [2017-10-06T15:48:56.505138 #4236]  INFO -- : Message success, Time= 0.019140046
I, [2017-10-06T15:48:56.510493 #4236]  INFO -- : Message success, Time= 0.005258388
I, [2017-10-06T15:48:56.518536 #4236]  INFO -- : Message success, Time= 0.007938323
I, [2017-10-06T15:48:56.523675 #4236]  INFO -- : Message success, Time= 0.004987904
I, [2017-10-06T15:48:56.532292 #4236]  INFO -- : Message success, Time= 0.008412836
I, [2017-10-06T15:48:56.536810 #4236]  INFO -- : Message success, Time= 0.004367527
I, [2017-10-06T15:48:56.545196 #4236]  INFO -- : Message success, Time= 0.002856139
I, [2017-10-06T15:48:56.550523 #4236]  INFO -- : Message success, Time= 0.005171953
I, [2017-10-06T15:48:56.554697 #4236]  INFO -- : Message success, Time= 0.004081105
I, [2017-10-06T15:48:56.565173 #4236]  INFO -- : Message success, Time= 0.006264574
I, [2017-10-06T15:48:56.575152 #4236]  INFO -- : Message success, Time= 0.009859423
I, [2017-10-06T15:48:56.590243 #4236]  INFO -- : Message success, Time= 0.014953706
I, [2017-10-06T15:48:56.604912 #4236]  INFO -- : Message success, Time= 0.01455018
I, [2017-10-06T15:48:56.611161 #4236]  INFO -- : Message success, Time= 0.006132187
I, [2017-10-06T15:48:56.623832 #4236]  INFO -- : Message success, Time= 0.012559199
I, [2017-10-06T15:48:56.631855 #4236]  INFO -- : Message success, Time= 0.007906446
I, [2017-10-06T15:48:56.636470 #4236]  INFO -- : Message success, Time= 0.004508981
I, [2017-10-06T15:48:56.645807 #4236]  INFO -- : Message success, Time= 0.007440679
I, [2017-10-06T15:48:56.652952 #4236]  INFO -- : Message success, Time= 0.007013644
I, [2017-10-06T15:48:56.655570 #4236]  INFO -- : Message success, Time= 0.002513946
I, [2017-10-06T15:48:56.662885 #4236]  INFO -- : Message success, Time= 0.007185505
I, [2017-10-06T15:48:56.671970 #4236]  INFO -- : Message success, Time= 0.008980584
I, [2017-10-06T15:48:56.676463 #4236]  INFO -- : Message success, Time= 0.004397676
I, [2017-10-06T15:48:56.684029 #4236]  INFO -- : Message success, Time= 0.007458927
I, [2017-10-06T15:48:56.689832 #4236]  INFO -- : Message success, Time= 0.005682684
I, [2017-10-06T15:48:56.699519 #4236]  INFO -- : Message success, Time= 0.009570446
I, [2017-10-06T15:48:56.707885 #4236]  INFO -- : Message success, Time= 0.008187531
I, [2017-10-06T15:48:56.718659 #4236]  INFO -- : Message success, Time= 0.008587251
I, [2017-10-06T15:48:56.727205 #4236]  INFO -- : Message success, Time= 0.008376374
I, [2017-10-06T15:48:56.732729 #4236]  INFO -- : Message success, Time= 0.005428356
I, [2017-10-06T15:48:56.746545 #4236]  INFO -- : Message success, Time= 0.013696391
I, [2017-10-06T15:48:56.755497 #4236]  INFO -- : Message success, Time= 0.006489881
I, [2017-10-06T15:48:56.759410 #4236]  INFO -- : Message success, Time= 0.00379114
I, [2017-10-06T15:48:56.770996 #4236]  INFO -- : Message success, Time= 0.011466011
I, [2017-10-06T15:48:56.781907 #4236]  INFO -- : Message success, Time= 0.010734127
I, [2017-10-06T15:48:56.789628 #4236]  INFO -- : Message success, Time= 0.007600092
I, [2017-10-06T15:48:56.797411 #4236]  INFO -- : Message success, Time= 0.007679953
I, [2017-10-06T15:48:56.803891 #4236]  INFO -- : Message success, Time= 0.006333645
I, [2017-10-06T15:48:56.814250 #4236]  INFO -- : Message success, Time= 0.010246919
